dataset	example_uid	question	answer	incorrect	correct	evidence
movieQA	2434	What is mentioned about Sebastian ?	Sebastian keeps a logbook detailing his assignments .	It is mentioned that Sebastian keeps a logbook detailing his assignments .	Sebastian keeping a journal detailing his conquests is what is mentioned about Sebastian .	"It is mentioned that Sebastian keeps a journal detailing his conquests.
"
movieQA	6828	Who wins the podrace ?	Gasgano	Gasgano wins with podrace .	Anakin wins the podrace .	"Qui-Gon wagers Anakin's freedom with Watto in a Podrace, which Anakin wins.
"
movieQA	2839	What happens between Alex and Isabel after their night together ?	Their lust even increases	After Alex and Isabel 's night together , their lust increases .	After Alex and Isabel 's night together they do n't feel that attracted to each other anymore .	"Alex and Isabel are overtaken by lust at first sight and end up spending the night together; however, their immediate attraction doesn't last in the cold light of day, and they don't see each other for another three months.
"
movieQA	11157	What causes Jayden to be violent towards the employees at Short Term 12 ?	She suffers a panic attack	Jayden suffers a panic attack that causes her to be violent towards the employees at Short Term 12 .	Her father 's failure to picker her up on her birthday cause Jayden to be violent towards the employees at Short Term 12 .	"Grace bonds with Jayden, a recent arrival at Short Term 12 who has a history of self-harm.
 Jayden distances herself from the other teenagers as she does not intend to stay at the facility for long, and when her father fails to pick her up on her birthday, she reacts violently towards the staff.
"
movieQA	8549	Why had n't Walter heard her when she mentioned having met Sean before ?	because he was on the phone when she told him	Walter had n't heard her because was on the phone when she mentioned having met Sean before .	Walter had n't heard her when she mentioned having met Sean before because he was daydreaming .	"She had told Mitty before but he was daydreaming and failed to hear her.
"
movieQA	706	Why does Tim go back in time on the night he met Mary ?	To attend Harry 's play night	Tim goes back in time to attend Harry 's play night on the night he met Mary .	Tim goes back in time on the night he met Mary to make Harry 's play 's opening night a success .	"Tim returns home to find a distraught Harry.
 It turns out that the same night as he met Mary, the opening night of Harry's new play had been ruined by one of the actors forgetting his lines at a crucial point.
 Tim goes back in time to put things right and the play is a triumph.
"
movieQA	6370	What is the Schindler 's list ?	Schindler 's family	Schindler 's list is his family .	Schindler 's list is a list of Jews to be transferred to Brinnlitz .	"Schindler and Stern create ""Schindler's List"" a list of people to be transferred to Brinnlitz and thus saved from transport to Auschwitz.
"
movieQA	2168	Where does Io go when Perseus and the men enter Medusa 's temple ?	Io leaves the Underworld	Io leaves the Underworld when Perseus and the men enter Medusa 's temple .	Io stays outside of the temple when Perseus and the men enter Medusa 's temple .	"The men enter Medusa's temple lair while Io remains outside.
"
movieQA	9406	Where is Melodie from ?	Alabama	Melodie is from Alabama .	Melodie is from Mississippi .	"Boris comes home one night to find Melodie, a simpleminded 21-year-old, lying on his doorstep.
 He reluctantly lets her in for a meal and soon she tells him her story.
 She turns out to be of a distinctly southern background, having been born to fundamentalist parents in Mississippi and ran away from them.
"
movieQA	2115	Where was Chikatilo held during the court trial ?	He was tied to a chair	Chikatilo was tied to a chair during the court trial .	Chikatilo was held in a metal cage during the court trial .	"Held in a metal cage during his trial, a wild-eyed Chikatilo is convicted and sentenced to death.
"
movieQA	9890	What does Trench discover after infiltrating Quince 's office ?	He discovers that Quince is a double agent .	Trench discovers that Quince is a double agent after infiltrating Quince 's office .	Trench discovered after infiltrating Quince 's office that Quince is Deb 's boyfriend , and they had planned to steal the money .	"At the base, Trench infiltrates Quince's office, only to discover Quince is Deb's boyfriend, and they had planned to steal the money for themselves.
"
movieQA	4237	How does Melanie spend most of her time ?	Sleeping	Melanie spends most of her time sleeping .	Melanie spends most of her time smoking marijuana and watching TV .	"To carry out this plan, Ordell is counting on Melanie Ralston, a surfer girl with whom he lives and who has little ambition past smoking marijuana and watching TV, and Louis Gara, a friend and former cellmate.
"
movieQA	4428	Why did n't Juno want to tell Paulie that she had gone into labor ?	She did n't think he would show up	Juno did n't want to tell Paulie that she had gone into labor because she did n't think that he would show up .	Juno did n't want to tell Paulie that she had gone into labor because he had a track meet .	"Seeing her missing from the stands, Paulie rushes to the hospital, finds Juno has given birth to their son, and comforts Juno as she cries.
"
movieQA	2830	What is Alex 's profession ?	He is unemployed	Alex is unemployed .	Alex 's profession is an architect .	"Alex Whitman is an architect from New York City who is sent to Las Vegas to supervise the construction of a nightclub that his firm has been hired to build.
"
movieQA	5908	Where did Will and Elizabeth get married ?	Aboard the Endeavour	Aboard the Endeavour is where Will and Elizabeth got married .	Will and Elizabeth got married aboard the Black Pearl .	"The Pearl and the Dutchman do battle in the maelstrom, with both Will and Elizabeth being wed by Barbossa before swinging over to the Dutchman to aid Jack.
"
movieQA	5583	What does Walter tell Jettel ?	He tells her that his sister survived two concentration camps .	Walter tells Jettel that his sister survived two concentration camps .	Walter tells Jettel that his father was beaten to death and his sister died in a concentration camp .	"Later, he tells her that his father was beaten to death and his sister died in a concentration camp.
"
movieQA	585	What does Charlotte do when she sees George kissing Lucy in the field ?	She confronts Lucy	Charlotte confronts Lucy when she saw her kissing George in the field .	When Charlotte sees George kissing Lucy in the field , she stops them .	"Charlotte has followed Lucy, witnesses the act, and quickly stops the intimacy.
"
movieQA	5856	What happens when Rafe and Danny climb into the biplane of Rafe 's father ?	Rafe 's father comes back and starts the plane	When Rafe and Danny climb into the biplane of Rafe 's father , Rafe 's father comes back and starts the plane .	Rafe accidentally starts it when Rafe and Danny climb into the biplane of Rafe 's father .	"After Rafe's father lands his biplane and leaves, Rafe and Danny climb into the plane and Rafe accidentally starts it, giving the boys their first experience at flight.
"
movieQA	2961	What is Elsa 's title at the beginning of the film ?	She is the Lady of Arendelle	Elsa 's title at the beginning of the film is the Lady of Arendelle .	Elsa 's title is a Princess of Arendelle at the beginning of the film .	"Elsa, Princess of Arendelle, possesses cryokinetic powers, with which she is able to produce or manipulate ice, frost and snow at will.
"
movieQA	5951	How did Jack get away from the Pearl after he managed to unchain himself ?	By swimming	Jack got away from the Pearl after he managed to unchain himself by swimming .	Jack did not get away from the Pearl after he managed to unchain himself .	"After they leave, Jack manages to free himself from the chain, but is dragged into Davy Jones' Locker along with the Pearl.
"
movieQA	9408	What is the meaning of the title ?	To be happy , one has to make everything work for him	The meaning of the title is to be happy , one has to make everything work for him .	The meaning of the title is that one has to find whatever works for them to be happy .	"Afterwards Boris is revealed to be the only one who is able to communicate with the audience, and explains directly to them that one has to find all the enjoyment he can, to find ""whatever works"".
"
movieQA	7391	Who does Benjamin meet without knowing his true identity ?	George Balanchine	Benjamin meet George Balanchine without knowing his true identity .	Benjamin meets his father , Thomas Button , without knowing his true identity .	"Benjamin also meets Thomas Button, who does not reveal that he is Benjamin's father.
"
movieQA	4761	Where is Shelton 's hideout located ?	Close to the prison yard below the ground .	Close to the prison yard below the ground is where Shelton 's hideout located .	Shelton 's hideout is located below the solitary confinement cells .	"While making a further background check on Shelton, Rice discovers that he used to own an auto garage less than one mile from the prison.
 Exploring this property, Rice and Detective Dunnigan find an underground tunnel that leads to a cache of guns, disguises, and other equipment right below the solitary confinement cells.
"
movieQA	3382	What is special about Tom Riddle 's diary ?	It holds the secrets of the universe	Tom Riddle 's diary is special because it holds the secrets of the universe .	What makes Tom Riddle 's diary special is that it is enchanted .	"Harry finds an enchanted diary, owned by a former student named Tom Riddle, which shows him a flashback to fifty years before, where Riddle accused Hagrid, then a pupil, of opening the Chamber.
"
movieQA	5381	How is Diane Selwyn portrayed when she wakes up and looks like Betty ?	As a failed dancer driven into a deep depression by her unrequited love for Camilla Rhodes	Diane Selwyn is portrayed as a failed dancer driven into a deep depression by her unrequited love for Camilla Rhodes when she wakes up and looks like Betty .	Diane Selwyn is portrayed as a failed actress driven into a deep depression by her unrequited love for Camilla Rhodes when she wakes up and looks like Betty .	"She looks exactly like Betty, but is portrayed as a failed actress driven into a deep depression by her unrequited love for Camilla Rhodes .
"
movieQA	6303	What happens on the wedding day of Maggie and Ike ?	The dodg eats the wedding rings	The dog ate the wedding rings on the wedding day of Maggie and Ike .	On the wedding day of Maggie and Ike , Maggie does n't go through with the wedding .	"But on the day of the wedding, Maggie gets cold feet, and leaves Ike standing at the altar.
 Ike chases after her but she hitches a ride on a FedEx truck and gets away.
"
movieQA	7358	What does the man in the convenience store do to the cashier ?	He threatens to kill her kids .	The man in the convenience store threatens to kill her kids .	The man in the convenience store yells at the cashier and shoots her .	"When she stops at a convenience store, a man comes in screaming at the female cashier for not allowing him to see his kids, and shoots her.
"
movieQA	11554	Who is more humane , the father or the son , when they meet an almost blind old man on the road ?	Both	Both the father and the son are humane when they meet an almost blind old man on the road .	The son is more humane than the father when they meet an almost blind old man on the road .	"The son persuades his reluctant father to feed him something, and they share some time together.
"
movieQA	1961	Why did Vesper cooperate with Le Chiffre ?	Because she wanted to join his organization	Vesper cooperated with Le Chiffre because she wanted to join his organization .	Because her boyfriend was kidnapped by the organization he works for Vesper cooperated with Le Chiffre .	"Bond rejoins MI6 and learns that Vesper had a French-Algerian boyfriend, Yusuf Kabira, who was kidnapped by the organisation behind Le Chiffre and Mr. White to blackmail her into co-operation.
"
movieQA	9629	What does Warren 's father find Warren doing in the bathroom ?	Grooming his wings	Warren 's father finds Warren grooming his wings in the bathroom .	Warren 's father finds Warren in the bathroom trying to cut off his wings .	"Ten years later, the industrialist father of Warren Worthington III discovers his son is a mutant as Warren tries to cut off his wings.
"
movieQA	5622	With whom does Will share his house ?	Martin	Will shares his house with Martin .	Will shares his house with Spike .	"He is divorced and shares his house with an eccentric, uninhibited Welshman named Spike .
"
movieQA	7221	Where are Richardson and his men from ?	The Central Intelligence Agency	Richardson and his men are from the Central Intelligence Agency .	Richardson and his men are from the Adjustment Bureau .	"Richardson explains he and his men are from the ""Adjustment Bureau"".
"
movieQA	9923	What happens to Mrs. Moore on her way back to England ?	She is abducted by pirates	Mrs Moore gets abducted by pirates on her way back to England .	Mrs. Moore suffers a fatal heart attack on her way back to England .	"She subsequently suffers a fatal heart attack during the voyage and is buried at sea.
"
movieQA	6373	How does Schindler bribe Hess into releasing women and children , which were redirected to Auschwitz ?	With a large sum of money	Schindler bribes Hess into releasing women and children with a large sum of money , which was redirected to Auschwitz .	Schindler bribed Hess into releasing women and children with a bag of diamonds , which were redirected to Auschwitz .	"The train carrying women and children is accidentally redirected to Auschwitz-Birkenau; Schindler bribes Rudolf Hss, the commandant of Auschwitz with a bag of diamonds to win their release.
"
movieQA	11065	Where is Ian 's and Toula 's house located ?	Next to the Greek school	Ian 's and Toula 's house is next to the Greek school .	Ian and Toula 's house is located next door to Toula 's parents ' house .	"As they walk towards Greek school, it is revealed that their home is right next door to that of Toula's parents.
"
movieQA	1519	How does Nina kill Lily ?	She shoves her through the window .	Nina shoves Lily through the window .	Nina kills Lily by stabbing her with a shard of glass .	"The doppelganger starts to strangle Nina, who then grabs a shard of glass and stabs her rival in the stomach, apparently killing her.
 The doppelganger's face reverts to that of Lily's.
"
movieQA	2572	Why does Kale attack his Spanish teacher ?	The teacher gives him an F on an assignment	Kale attacks his Spanish teacher when he is given an F on an assignment .	Kale attacked his Spanish teacher , because he brings up his late father .	"Near the end of the school year, he is reprimanded by his Spanish teacher, Seor Gutierrez, and when Gutierrez brings up Kale's father, Kale attacks him.
"
movieQA	9129	Who would win the duel , Menelaus or Paris ?	It would end in at an impasse	The win on the duel between Menelaus or Paris would end in at an impasse .	Menelaus would win the duel .	"Menelaus wounds Paris and almost kills him, but Menelaus is killed by Hector.
"
movieQA	50	What does Bianca do when Cameron expresses his feelings for her ?	She hugs him	When Cameron expresses his feelings for Bianca , she hugs him .	When Cameron expresses his feelings for Bianca , she kisses him .	"Cameron admits his feelings for her and his frustration with how she has treated him.
 Bianca responds by kissing him.
"
movieQA	9086	What were the Autobots doing while Sam searched for a job ?	Helping the British military neutralize threats around the world	The Autobots are helping the British military neutralize threats around the world while Sam searched for a job .	The Autobots were helping the U.S. military neutralize threats around the world while Sam searched for a job .	"In the present, Sam Witwicky is frustrated that he is unable to work with the Autobots and failing to find a job, while the Autobots assist the United States military in preventing conflicts around the globe.
"
movieQA	156	What instrument does Solomon play ?	He sings	Solomon sings .	Solomon plays the violin .	"In 1841, Solomon Northup is a free African-American man working as a violinist, who lives with his wife, Anne Hampton, and two children, Margaret and Alonzo, in Saratoga Springs, New York.
"
movieQA	1178	What happens to old and unlicensed Mecha robots at the Flesh Flair ?	They are pitted against each other in fights	They pit old and unlicensed Mecha robots against each other in fights at the Flesh Fair .	Old and unlicensed Mecha robots at the Flesh Flair are destroyed in front of cheering crowds .	"David is captured for an anti-Mecha Flesh Fair, an event where obsolete and unlicensed Mecha are destroyed in front of cheering crowds.
"
movieQA	6901	Where does Luke meet the Emperor ?	On the Millenium Falcon	Luke meets the Emperor on the Millennium Falcon .	Luke meets the Emperor on the Death Star .	"Vader takes Luke to the Death Star to meet the Emperor, intent on turning him to the dark side.
"
movieQA	310	What effect has WHYPHY had on a campus student ?	The student has become a drug dealer	A campus student has become a drug dealer because of WHYPHY .	WHYPHY killed the campus student .	"Their assignment is to go undercover as college students and locate the supplier of a drug known as ""WHYPHY"" that killed a student photographed buying it on campus.
"
movieQA	286	What new mission does Dickson claim to have for Schmidt and Jenko ?	An investigation at a night club .	An investigation at a night club was the new mission Dickson has for Schmidt and Jenko .	Going undercover at a med school is the new mission Dickson claims to have to Schmidt and Jenko .	"Dickson approaches them claiming to have a new mission undercover at a med school.
"
movieQA	1798	Who surprises Bridget when she arrives home from Thailand ?	Mark 's parents	Mark 's parents surprise Bridget when she arrives home from Thailand .	When Bridget arrives home from Thailand her friends will surprise her .	"At home, she is surprised by her friends who inform her that Mark was the one who tracked down Jed and forced him into custody in order to free her, in the process putting into motion the British Government, MI5, Interpol & many other diplomatic big-wigs.
"
movieQA	7913	Where does the group hide when Azog and the other Orcs come after them ?	In the cave	The group hides in the cave when Azog and the other Orcs come after them .	The group hides in the trees when Azog and the other Orcs come after them .	"The company is ambushed by Azog and his hunting party, and takes refuge in trees.
"
movieQA	1658	What is the name of George 's cellmate in federal prison ?	Pablo	Pablo was the name of George 's cellmate in federal prison .	Diego is George 's cellmate in federal prison .	"His cellmate Diego Delgado has contacts in the Medelln cocaine cartel and convinces George to help him go into business.
"
movieQA	10039	What does Grace suggest they do to escape without getting back in the water ?	That they keep pulling the boat	Grace suggests they keep pulling the boat to escape without getting back in the water .	Grace suggests that they climb across the trees to escape without getting back in the water .	"Grace then suggests they climb across the trees to the mainland.
"
movieQA	5464	What does Jack end up doing for Tom at the end of the film ?	He gives him money	Jack ends up giving Tom money at the end of the film .	Jack gives Tom a promotion at the end of the film .	"Jack realizes his mistakes and gives Tom a promotion.
"
movieQA	5717	Who does Danny travel to California to see ?	To meet his partner-in-crime and friend Livingston Dell	Danny travels to California to see his partner-in-crime and friend Livingston Dell .	Danny travels to California to see his partner-in-crime and friend Rusty Ryan .	"Following release from prison, Daniel ""Danny"" Ocean violates his parole by traveling to California to meet his partner-in-crime and friend Rusty Ryan to propose a caper.
"
movieQA	11231	Whose idea was it for Alice to talk at an Alzheimer 's conference ?	Her best friend 's	Alice 's best friend had the idea that Alice should talk at an Alzheimer 's conference .	It was her doctor 's idea for Alice to talk at an Alzeimer 's conference .	"At her doctor's suggestion, Alice delivers a speech at an Alzheimer's conference about her experience with the disease, using a highlighter to remind herself which parts of the speech she has already spoken, and receives a standing ovation.
"
movieQA	7807	How does Paul feel about his prolonged life and the fact that all his relatives and friends died ?	He feels sorry for his relatives and friends .	Paul feels sorry for his relatives and friends about his prolonged life and the fact that all his relatives and friends died .	Paul feels his prolonged life and the fact that all his relatives and friends died is a punishment from God for having let John be executed .	"Mr. Jingles, Del's mouse resurrected by John, is also still alive but Paul believes his outliving all of his relatives and friends to be a punishment from God for having let John be executed, and wonders how long it will be before his own death.
"
movieQA	10666	Who pays for Forrest 's tuition at the University ?	No one ; he gets an academic scholarship	No one pays for Forrest 's tuition at the University because he gets a scholarship .	No one pays for Forrest 's tuition at the University , he gets an athletic scholarship .	"Forrest attends the university on an athletic scholarship and becomes a college football star, earning him a spot on the College Football All-America Team and a trip to the White House to meet President John F. Kennedy.
"
movieQA	11804	What does Moira tell her superiors at a CIA debriefing ?	she has no sympathy for mutants	Moira tells her superiors at a CIA debriefing that she has no sympathy for mutants .	Moira tells her superiors at the CIA debriefing that she has no memory of recent events .	"MacTaggert promises never to reveal his location and they kiss; later at a CIA debriefing, she says she has no memory of recent events.
"
movieQA	5227	What is the name of Bill 's eldest daughter ?	Jennifer	Jennifer is the name of Bill 's eldest daughter .	Allison is the name of Bill 's eldest daughter .	"Billionaire media mogul William ""Bill"" Parrish is considering a merger between his company and another media giant, while also about to celebrate his 65th birthday with an elaborate party being planned by his eldest daughter Allison.
"
movieQA	7054	What does Kevin realize about Rinzler ?	That Rinzler is human	Kevin realizes that Rinzier is human .	Kevin realized that Rinzler is Tron .	"The transport is intercepted by Clu's warship; as a diversion, Quorra allows herself to be captured by Rinzler, whom Flynn recognizes as Tron, reprogrammed by Clu.
"
movieQA	4694	What is so important about the Dragon Scroll ?	It is said to hold the secret to eternal life	The Dragon Scroll is important , because it is said to hold the secret to eternal life .	The Dragon Scroll is said to hold the secret to limitless power .	"Grand Master Oogway, an old tortoise and Shifu's mentor, has a vision that Shifu's adoptive son and former student, the evil snow leopard Tai Lung, will escape from prison and return to the Valley of Peace to take revenge for being denied the Dragon Scroll, which is said to hold the secret to limitless power.
"
movieQA	11588	Who shoots Clifford ?	Boyle	Boyle shoots Clifford .	Coccotti shoots Clifford .	"Back in Detroit, Clifford is confronted in his home by Don Vincenzo Coccotti, Boyle's consul in the Detroit Mafia, who wants the drugs taken from Drexl.
 Clifford refuses to reveal where his son has gone.
 Accepting that he is going to die anyway, he insults Coccotti by claiming that Sicilians are ""niggers"" descended from the Moors.
 Coccotti shoots Clifford in the head and then finds a note on the fridge giving Clarence's address in L.A.
"
movieQA	8802	What is Shuan 's mother 's name ?	The name of Shaun 's mother is Meggy .	The name of Shaun 's mother is Meggy .	The name of Shaun 's mother is Cynthia .	"The film cuts forward to Shaun in his room brooding about what has happened, with his mother Cynthia assuring Shaun that Milky will be all right.
"
movieQA	257	How does Brian 's Skyline perform on the Miami streets ?	Winning in races and establishes a name for himself as one of Miami 's top automotive handlers .	Brian 's Skyline performs on the Miami streets by winning in races and establishes a name for himself as one of Miami 's top automotive handlers .	Brian 's Skyline performs on the Miami streets winning in races and establishes a name for himself as one of Miami 's top drivers	"After taking his Skyline to the streets of Miami and winning in races organized by Tej, he establishes a name for himself as one of Miami's top drivers, earning the nickname Bullitt.
"
movieQA	6336	With which team does Lauda win his first championship ?	Formula One	Lauda win his first championship with the Formula One team .	Lauda wins his first championship with Scuderia Ferrari .	"Lauda then joins Scuderia Ferrari with Regazzoni and wins his first championship in 1975.
"
movieQA	9375	What happens at the surprise birthday part that Joy throws for her fiancee ?	Joy and her friends get drunk	Joy and her friends get drunk at the surprise birthday party that Joy threw for her fiancee .	Joy 's fiance dumps her at the surprise birthday part that she throws for him .	"In New York City, high-strung equity trader Joy Ellis McNally is dumped by her fianc at a surprise birthday party she throws for him.
"
movieQA	7713	Who is the hotel owner ?	M. Jean	M. Jean is the hotel owner .	Zero Moustafa is the hotel owner .	"The Author encounters the hotel's elderly owner, Zero Moustafa, one afternoon, and they agree to meet later that evening.
"
movieQA	9801	What name does the killer give himself ?	The Astrologist	The killer gives himself the name The Astrologist .	The killer gave himself the name The Zodiac .	"One month later, the San Francisco Chronicle receives encrypted letters written by the killer calling himself the ""Zodiac"" and taunting the police.
"
movieQA	2177	How does Perseus respond to Zeus ' offer to become a god ?	He feels flattered and accepts it .	Perseus feels flattered and accepts Zeus ' offer to become a god .	Perseus responds to Zeus ' offer to become a god by refusing it .	"Perseus also refuses another offer of godhood from Zeus, who then proclaims that if Perseus is to live as a human he should not be alone and revives Io.
"
movieQA	6649	Who is Salim ?	One of the police officers	Salim is one of the police officers .	Salim is Jamal 's brother .	"These flashbacks tell the story of Jamal, his brother Salim, and Latika .
"
movieQA	7268	What happens to the rug the Dude has stolen ?	It is taken by the kidnappers	The rug the Dude has stolen is taken by the kidnappers .	The rug that the Dude has stolen is taken by a pair of thugs .	"Later, a different pair of thugs appear in the Dude's apartment, knock him unconscious, and take Lebowski's rug.
"
movieQA	5303	What does Smith do after he and Brooks drive away from Vialo and Sheila 's murder scene ?	He throws up	Smith throws up after he and Brooks drive away from Vialo and Sheila 's murder scene .	Smith pulled a gun on Brooks after they drove away from Vialo and Sheila 's murder scene .	"While driving away from the scene, Smith pulls a gun on Brooks, which Brooks and Marshall had predicted would happen.
"
movieQA	7762	Who is Meyer Wolfsheim ?	Jordan 's ex-boyfriend	Meyer Wolfsheim is Jordan 's ex-boyfriend .	Meyer Wolsheim is Gatsby 's business partner .	"Gatsby takes Nick to a speakeasy, where he introduces him to Meyer Wolfsheim, a mob boss and business partner of Gatsby.
"
movieQA	6530	Why is Samantha arrested ?	She was arrested for shoplifting in Dubai .	Samantha was arrested for shoplifting in Dubai .	Samantha is arrested for public indecency after making out with a Dane .	"The four women find their style and Western attitudes contrast with Muslim customs.
"
movieQA	492	How does Nash stop Alicia from leaving ?	He locks her up in her room .	Nash stops Alicia from leaving by locking her up in her room .	Nash stops Alicia from leaving by stepping in front of her car .	"Nash steps in front of her car to prevent her from leaving, after he realizes that he's known Marcee for a long time, yet she never grew older.
"
movieQA	7778	What does Tom tell George after Myrtle 's death ?	That she had called Tom to pick her up	After Myrtle 's death , Tom tell George that she had called Tom to pick her up .	After Myrtle death Tom tells George that the car killed her is Gatsby 's and he suspects she was sleeping with him .	"Tom tells a distraught George the yellow car belongs to Gatsby and that he suspects Gatsby was the one sleeping with Myrtle.
"
movieQA	1491	Where does Sarah live ?	Ethiopia	Sarah lives in Ethiopia .	Sarah lives in England .	"While attending a fund-raising gala, Sarah Jordan, a naive, married American socialite living in England, witnesses a fiery plea delivered by an intruder a renegade humanitarian, Dr. Nick Callahan .
"
movieQA	269	What do Jenko and his friends overhear when they hack Eric 's phone ?	A message from Molly to Eric	Jenko and his friends overhear a message from Molly to Eric when they hack Eric 's phone .	Jenki and his friends overhear information about a meeting between Eric and his supplier when they hack Eric 's phone .	"At a party that Schmidt was invited to, Jenko's friends hack Eric's phone and overhear information about an upcoming meeting between Eric and his supplier, but also catch Schmidt making disparaging comments about Jenko.
"
movieQA	9276	How does WALL-E get back to the Axiom ship after he saves the plant ?	EVE gets him onto another pod	EVE gets WALL-E onto another pod and gets him back to the Axiom ship after he saves the plant .	WALL-E is able to get back to the Axiom ship after he saves the plant by propelling himself with a fire extinguisher .	"WALL-E escapes with the plant before the pod explodes, using a fire extinguisher to propel himself back toward the Axiom, where he and EVE reconcile and celebrate with a dance in space.
"
movieQA	8941	What happens when Thor finds Jane ?	She attempts to kill him .	When Thor finds Jane , she attempts to kill him .	When Thor finds Jane she accidentally releases an unearthly force .	"When Thor finds Jane, she inadvertently releases an unearthly force, and Thor returns with her to Asgard.
"
movieQA	521	What university is Nash invited to work at following the success of his article on governing dynamics ?	NYU	Nash is invited to work at NYU University following the success of his article on governing dynamics .	Nash is invited to work at MIT following the success of his article on governing dynamics .	"Nash develops a new concept of governing dynamics and publishes an article on this.
 On the strength of this, he is offered an appointment at MIT where Sol and Bender join him.
"
movieQA	10198	What does Bruno name the baby he brought back with him from Nairobi ?	Diesel	Bruno name the baby that he brought back with him from Nairobi Diesel .	Bruno names the baby he brought back with him from Nairobi O.J.	"On a talk show hosted by Richard Bey, he shows the African American audience a baby he named O.J., whom he acquired in Africa by ""swapping him"" for a U2 Product Red iPod.
"
movieQA	9434	How does Saul find out that Lucy is not actually Peter 's fiance ?	She tells him	Lucy tells Saul she is not actually Peter 's fiance .	Saul overhears Lucy talking to Peter that she 's not his actual fiance .	"Peter's godfather Saul overhears the truth and later confronts her, but tells her he will keep her secret, because the accident has brought the family closer.
"
movieQA	6760	Why are the Knights of the White Camellia threatening Jack ?	To make him sell them his land	The Knights of the White Camellia are threatening Jack to make him sell them his land .	The Knights of the White Camellia threaten Jack to make him exclude black people from owning land .	"One black freedman living on Sommersby's land is brutally attacked and dropped at Sommersby's door, by men proclaiming themselves the Knights of the White Camellia .
 Jack is threatened in an attempt to force him to exclude Black people from the landowning but he refuses, saying that they can ""own what they pay for"".
"
movieQA	2375	Why does Jessica take nude photos of herself ?	To give to Robbie	Jessica takes nude photos of herself to give to Robbie .	Jessica takes advice from her classmate and takes nude photos of herself because she has a crush on Cal	"At the same time, Robbie makes numerous grand gestures to try to win the heart of his 17-year-old babysitter, Jessica Riley, who actually has a crush on Cal.
 On the advice of her classmate Madison, she takes naked photos of herself to send to Cal and tucks them away in an envelope inside her dresser drawer.
"
movieQA	6195	What does Anwar eventually confess to ?	Gathering intelligence through torture	Anwar eventually confesses to gathering intelligence through torture .	Anwar eventually confesses to telling Rashid how to create more effective bombs .	"Eventually, Anwar confesses that he advised Rashid how to make more powerful bombs and was promised $40,000 in return.
"
movieQA	10978	Who does Gil fall in love with in the 1920s ?	Helen	Gil falls in love with Helen in the 1920 's .	Gil fell in love with Adriana in the 1920s .	"Gil spends more and more time with Adriana, who leaves Picasso for a brief dalliance with Hemingway.
 Gil realizes he is falling in love with her, leaving him in conflict.
"
movieQA	8640	Who advised Zuckerberg to change the name of the website from Thefacebook to Facebook ?	Billy Olson	Billy Olson advised Zuckerberg to change the name of the website from Thefacebook to Facebook .	Sean Parker advised Zuckerberg to change the name of the website from Thefacebook to Facebook .	"Lee arranges for Saverin and Zuckerberg to meet Napster co-founder Sean Parker, who presents a ""billion dollar"" vision for the company that impresses Zuckerberg.
 He also suggests dropping the ""The"" from Thefacebook.
"
movieQA	9696	What song does Carl play on the guitar that convinces a man not to commit suicide ?	Uh - huh	Uh - huh is the song Carl plays on the guitar that convinces a man not to commit suicide .	The song Carl plays on the guitar that convinces a man not to commit suicide is Jumper .	"He earns a corporate promotion at work and, making use of his guitar lessons, plays Third Eye Blind's song ""Jumper"" to persuade a man not to commit suicide.
"
movieQA	9733	Who is Jessica ?	Maya 's schoolmate and fellow officer	Jessica is Maya 's schoolmate and fellow officer .	Jessica is Maya 's fellow officer and friend .	"Maya's fellow officer and friend Jessica is killed in the 2009 Camp Chapman attack.
"
movieQA	8526	What does Walter admit to Cheryl while recounting his adventures ?	That he is jealous of her ex-husband .	Walter admits to Cheryl that he is jealous of her husband .	Walter admits to Cheryl that he does n't know what negative # 25 shows while recounting his adventures .	"Mitty tells Cheryl of his adventures and admits that he still does not know what negative #25 shows.
"
movieQA	2738	Who kills Wade ?	Jean	Jean kills Wade .	Carl kills Wade .	"Angered by Wade's demands and unexpected appearance, Carl kills Wade, but not before Wade shoots Carl in the cheek.
"
movieQA	326	What does Mercedes think about Maya and Schmidt sleeping together ?	Mercedes approves Maya and Schmidt sleeping together	Mercedes approves Maya and Schmidt sleeping together .	Mercedes disapproves of Maya and Schmidt sleeping together .	"The two sleep together, to the disapproval of Maya's roommate Mercedes, and it is revealed that Maya is the daughter of the vehemently disapproving Captain Dickson.
"
movieQA	4401	What happens to Jennifer when she eats food from Needy 's fridge ?	She has an allergic reaction and breaks out in hives	Jennifer has an allergic reaction and breaks out in hives when she eats food from Needy 's fridge .	Jennifer is unable to digest the food and vomits black fluid when she eats food from Needy 's fridge .	"Later that evening, Jennifer, covered in blood, appears in Needy's kitchen and proceeds to eat food from the refrigerator.
 Unable to digest the matter, she vomits a trail of black, spiny fluid and then leaves in a hurry as Needy calls after her.
"
movieQA	1047	What does Jean find in Bateman 's office one day ?	detailed illustration of murder , mutilation , and rape	Jean finds a detailed illustration of murder , mutilation , and rape in Bateman 's office one day .	Jean finds detailed drawings of murder , mutilation , and rape in Bateman 's office one day .	"As Bateman goes to meet with his colleagues and lawyer, Jean finds detailed drawings of murder, mutilation, and rape in Bateman's office journal to her horror and sorrow.
"
